Wavelength [nm],Bare Silicon Wafer
1040,0.363327
1041,0.358806
1042,0.354213
1043,0.349216
1044,0.344435
1045,0.339393
1046,0.333667
1047,0.328239
1048,0.322914
1049,0.317621
1050,0.312218
1051,0.30664
1052,0.301051
1053,0.295624
1054,0.28996
1055,0.284371
1056,0.278613
1057,0.272443
1058,0.266225
1059,0.26028
1060,0.254331
1061,0.248907
1062,0.243653
1063,0.239141
1064,0.235073
1065,0.230836
1066,0.226751
1067,0.222755
1068,0.219031
1069,0.215328
1070,0.21157
1071,0.207999
1072,0.204605
1073,0.200995
1074,0.19716
1075,0.193708
1076,0.190251
1077,0.186985
1078,0.183632
1079,0.180468
1080,0.177602
1081,0.174379
1082,0.171018
1083,0.167669
1084,0.164668
1085,0.161854
1086,0.158775
1087,0.155785
1088,0.153374
1089,0.150623
1090,0.147642
1091,0.144697
1092,0.141834
1093,0.139225
1094,0.136579
1095,0.133934
1096,0.131392
1097,0.128842
1098,0.126604
1099,0.124505
1100,0.122076
1101,0.11976
1102,0.11755
1103,0.11523
1104,0.113002
1105,0.110973
1106,0.108954
1107,0.106904
1108,0.104863
1109,0.103008
1110,0.101138
1111,0.099284
1112,0.09758
1113,0.095785
1114,0.093866
1115,0.091825
1116,0.089855
1117,0.087948
1118,0.086233
1119,0.084744
1120,0.083179
1121,0.081513
1122,0.079973
1123,0.078391
1124,0.076884
1125,0.075303
1126,0.07393
1127,0.072513
1128,0.071051
1129,0.069633
1130,0.068159
1131,0.066765
1132,0.065437
1133,0.063993
1134,0.062978
1135,0.061828
1136,0.060728
1137,0.05946
1138,0.058258
1139,0.057113
1140,0.055859
1141,0.054755
1142,0.053888
1143,0.053316
1144,0.05259
1145,0.051757
1146,0.050744
1147,0.049803
1148,0.048979
1149,0.048432
1150,0.047507
1151,0.047023
1152,0.04607
1153,0.044986
1154,0.044242
1155,0.043333
1156,0.042535
1157,0.041753
1158,0.041265
1159,0.040586
1160,0.039637
1161,0.038991
1162,0.038609
1163,0.038122
1164,0.037359
1165,0.03706
1166,0.036707
1167,0.036385
1168,0.036014
1169,0.035956
1170,0.035683
1171,0.035024
1172,0.034794
1173,0.034416
1174,0.034137
1175,0.033745
1176,0.033463
1177,0.033118
1178,0.03315
1179,0.033512
1180,0.03361
1181,0.033905
